lastfm_artist_id	lastfm_artist_name	spotify_artist_id	spotify_artist_name	similarity_score
2	Diary of Dreams	1tg5jMp8FFjVqjgoxuEbSR	Diary Of Dreams	1.0
3	Carpathian Forest	0sFntmE9T1tiF6G6O6Lm3H	Carpathian Forest	1.0
5	Bella Morte	2SyimynlSU0Oii7p3NYtSV	Bella Morte	1.0
6	Moonspell	17bYSQ9ZRnreVnJjE5X2x6	Moonspell	1.0
7	Marilyn Manson	2VYQTNDsvvKN9wmU5W7xpj	Marilyn Manson	1.0
8	DIR EN GREY	3kNqzLmW33fQIfmZ1OfqMA	DIR EN GREY	1.0
9	Combichrist	5556RAgwP70PnXbaUTGNbR	Combichrist	1.0
10	Grendel	28D0LIS1y01QS8fbh9dXVk	Grendel	1.0
11	Agonoize	76gauxdapMkInaQG5fl2Xv	Agonoize	1.0
12	Behemoth	1MK0sGeyTNkbefYGj673e9	Behemoth	1.0
13	Hocico	5cilSDFcAQcLwh0dNqMhrE	Hocico	1.0
15	Dimmu Borgir	6e8ISIsI7UQZPyEorefAhK	Dimmu Borgir	1.0
16	London After Midnight	51mEqzVhG2n9nD2kBAnWer	London After Midnight	1.0
17	Psyclon Nine	5Wqztnja4JFJ7WNcGLzAzb	Psyclon Nine	1.0
18	The Crüxshadows	64gvvAW80lNmO2Srd0I3MK	The Crüxshadows	1.0
19	:wumpscut:	3TTbkikkCAbUg2j5i9UrTV	:Wumpscut:	1.0
20	Limbonic Art	5IrAgNdYXNkINpqT4XCnTD	Limbonic Art	1.0
21	Artista sconosciuto	4NcXo8pbqXS4Th98LY6zQD	Artista Sconosciuto	1.0
22	xotox	3GkKMczYfT8PNhBl786fix	Xotox	1.0
23	The Kovenant	31VNYr7yK0xBD6MfIaucLJ	The Kovenant	1.0
24	Feindflug	4wSMRIInYxJIH3nji0kl4R	Feindflug	1.0
25	Cradle of Filth	0NTSMFFapnyZfvmCwzcYPd	Cradle Of Filth	1.0
26	Tamtrum	02YLbDaFver3XIWEhTTrd1	Tamtrum	1.0
27	Laibach	7l4LQfvN4yz8zbK4WY0AAg	Laibach	1.0
28	Gorgoroth	1Dt7cfRzxM8qPVa82jX9y5	Gorgoroth	1.0
30	And One	6OAueBADydAjR5lP5NqTvv	And One	1.0
31	Amduscia	3nasc5I5Nmzq7KgKENcetM	Amduscia	1.0
32	Covenant	11zG3SH7tJ36wYmCJ2oWyB	Covenant	1.0
